tank,date,dispersal,wattage,metacommunity,temp_mean,temp_max,temp_sd,temp_min,dispersal_date
11,2018-06-18,low,300,3,27.294722222222223,32.9,2.6813489310666174,23.68,NA
12,2018-06-18,low,200,3,25.971319444444443,31.66,2.6126350459365026,22.43,NA
13,2018-06-18,none,300,4,27.096180555555556,31.92,3.2906955067615518,22.73,NA
14,2018-06-18,none,0,4,24.07625,28.87,3.1318322515339565,19.86,NA
15,2018-06-18,none,200,4,26.235208333333333,30.97,3.2438412800258885,22.01,NA
16,2018-06-18,none,100,4,25.27375,29.98,3.147612676210425,21.1,NA
17,2018-06-18,low,0,5,24.233819444444446,28.61,2.908732210442691,20.42,NA
18,2018-06-18,low,100,5,23.93722222222222,28.95,3.4377306802587424,19.9,NA
19,2018-06-18,low,300,5,26.87902777777778,31.53,3.183824572477872,22.73,NA
20,2018-06-18,low,200,5,25.314027777777778,30.41,3.4557138898834614,21.15,NA
21,2018-06-18,high,100,6,25.78625,30.63,3.350422137060269,21.4,NA
22,2018-06-18,high,200,6,26.256180555555556,30.97,3.154699900731481,22.18,NA
23,2018-06-18,high,0,6,24.272430555555555,28.91,3.061999722866749,20.29,NA
24,2018-06-18,high,300,6,27.60451388888889,32.77,3.3461498237769325,23.34,NA
25,2018-06-18,low,200,7,26.549791666666668,31.4,3.2661250257095835,22.39,NA
26,2018-06-18,low,300,7,27.491180555555555,32.47,3.3291218726108833,23.21,NA
27,2018-06-18,low,100,7,26.228194444444444,31.19,3.3867212216619835,21.75,NA
28,2018-06-18,low,0,7,24.787222222222223,29.56,3.186929917635828,20.46,NA
29,2018-06-18,high,100,8,25.191944444444445,30.03,3.2979216336637087,20.85,NA
30,2018-06-18,high,200,8,25.815277777777776,30.59,3.1624461507772206,21.83,NA
31,2018-06-18,high,0,8,23.434930555555557,27.84,2.9327206387233837,19.69,NA
32,2018-06-18,high,300,8,26.638958333333335,31.27,3.172987985085431,22.69,NA
33,2018-06-18,none,0,9,22.873819444444443,27.58,3.2029413921546097,19.09,NA
34,2018-06-18,none,100,9,24.55375,29.17,3.1077698421228668,20.72,NA
35,2018-06-18,none,300,9,27.111666666666668,31.83,3.194003122111176,23.12,NA
36,2018-06-18,none,200,9,26.082430555555554,30.63,3.029989786621707,22.26,NA
37,2018-06-18,high,200,10,26.54388888888889,31.36,3.159525748051906,22.52,NA
38,2018-06-18,high,300,10,27.105763888888887,31.83,3.0812885733947435,23.16,NA
39,2018-06-18,high,100,10,25.532430555555557,30.33,3.128646403290418,21.32,NA
40,2018-06-18,high,0,10,24.151666666666667,28.61,3.012157185322657,20.03,NA
41,2018-06-18,none,0,11,22.93777777777778,27.07,2.771862226377819,19.39,NA
42,2018-06-18,none,100,11,24.23611111111111,28.91,3.0500778646741105,20.42,NA
43,2018-06-18,none,300,11,26.924166666666668,31.66,3.1568660878319643,22.99,NA
44,2018-06-18,none,200,11,25.786944444444444,31.1,3.425777493862005,21.49,NA
45,2018-06-18,low,100,12,25.177152777777778,29.68,2.9719623766299796,21.28,NA
